question,answer_a,answer_b,answer_c,answer_d,correct,type
There were 13 original states. Name three.,Virginia New York and Massachusetts,Texas California and Florida,Ohio Illinois and Michigan,Nevada Arizona and Colorado,a,single
What happened at the Constitutional Convention?,The Declaration of Independence was signed,The Constitution was written,The Bill of Rights was adopted,The first President was elected,b,single
When was the Constitution written?,1776,1781,1787,1800,c,single
The Federalist Papers supported the passage of the U.S. Constitution. Name one of the writers.,George Washington,Thomas Jefferson,James Madison,Patrick Henry,c,single
What is one thing Benjamin Franklin is famous for?,He wrote the Constitution,He was the first President,He was a U.S. diplomat,He led the Continental Army,c,single
What is the economic system of the United States?,Socialism,Pure capitalism,Free market economy,Command economy,c,single
What is one war fought by the United States in the 1800s?,World War I,The Civil War,The Korean War,The Vietnam War,b,single
Name the U.S. war between the North and the South.,The War of 1812,The Civil War,The Revolutionary War,The Spanish-American War,b,single
Name one problem that led to the Civil War.,The attack on Pearl Harbor,Slavery,Immigration,Taxation without representation,b,single
What was one important thing that Abraham Lincoln did?,Led the United States in World War I,Purchased Alaska,Freed the slaves (Emancipation Proclamation),Wrote the Declaration of Independence,c,single
What did the Emancipation Proclamation do?,Ended World War II,Freed the slaves in Confederate states,Gave women the right to vote,Created the income tax,b,single
What did Susan B. Anthony do?,She led the Underground Railroad,She fought for women's rights,She wrote the Declaration of Independence,She was the first woman elected to Congress,b,single
Name one war fought by the United States in the 1900s.,The Civil War,The War of 1812,World War I,The Mexican-American War,c,single
Why did the United States enter World War I?,Because Germany bombed Pearl Harbor,To stop communism in Southeast Asia,Because of the sinking of U.S. ships and to support democracy in Europe,To liberate concentration camps,c,single
When did all men and women get the right to vote?,1865,1919,1920,1964,c,single
What movement tried to end racial discrimination?,The Women's Suffrage Movement,The Civil Rights Movement,The Labor Movement,The Temperance Movement,b,single
What did Martin Luther King Jr. do?,He fought for civil rights and equality for all Americans,He wrote the Emancipation Proclamation,He led the United States in World War II,He was the first Black senator,a,single
Name one major American Indian tribe in the United States.,Spanish,African,Cherokee,European,c,single
Name one of the two longest rivers in the United States.,The Rio Grande,The Missouri River,The Mississippi River,The Colorado River,c,single
What ocean is on the West Coast of the United States?,The Atlantic Ocean,The Gulf of Mexico,The Arctic Ocean,The Pacific Ocean,d,single
What ocean is on the East Coast of the United States?,The Pacific Ocean,The Atlantic Ocean,The Indian Ocean,The Arctic Ocean,b,single
Name one U.S. territory.,Puerto Rico,Ireland,Greenland,Cuba,a,single
Name one state that borders Canada.,Florida,Texas,California,Montana,d,single
Name one state that borders Mexico.,Montana,New York,Texas,Illinois,c,single
What is the capital of the United States?,New York City,Philadelphia,Boston,Washington D.C.,d,single
Where is the Statue of Liberty?,Boston Harbor,New York Harbor,Philadelphia,Washington D.C.,b,single
Why does the flag have 13 stripes?,To represent the original 50 states,To represent the 13 original colonies,Because 13 is a lucky number,To honor the 13 signers of the Constitution,b,single
Why does the flag have 50 stars?,One for each state,One for each territory,One for each senator,One for each decade since independence,a,single
What is the name of the national anthem?,America the Beautiful,My Country 'Tis of Thee,The Star-Spangled Banner,God Bless America,c,single
When do we celebrate Independence Day?,June 14,July 4,September 17,November 11,b,single
Name two national U.S. holidays.,Christmas and Thanksgiving,Independence Day and Labor Day,Easter and Memorial Day,New Year's Day and Easter,b,single
What is the capital of the United States?,Philadelphia,New York,Chicago,Washington D.C.,d,single
Who was the first President?,John Adams,Thomas Jefferson,George Washington,Benjamin Franklin,c,single
What territory did the United States buy from France in 1803?,Alaska,Puerto Rico,The Louisiana Territory,The Oregon Territory,c,single
In 1803 the United States bought a large amount of land from France. Where was that land?,West of the Mississippi River,East of the Mississippi River,North of the Great Lakes,South of the Rio Grande,a,single
Name one of the writers of the Federalist Papers.,George Washington,Alexander Hamilton,Patrick Henry,Samuel Adams,b,single
What is the name of the national anthem of the United States?,God Bless America,America the Beautiful,The Star-Spangled Banner,Yankee Doodle,c,single
There are four amendments to the Constitution about who can vote. Describe one of them.,Citizens must own property to vote,Citizens need a literacy test to vote,Citizens who are 18 or older can vote,Citizens must pay a poll tax to vote,c,single
What year was the Constitution written?,1776,1781,1787,1803,c,single
The House of Representatives has how many voting members?,200,300,435,535,c,single
What is the name of the Vice President of the United States now?,Mike Pence,Joe Biden,Kamala Harris,J.D. Vance,d,single
We elect a U.S. Senator for how many years?,2,4,6,8,c,single
What is one right or freedom from the First Amendment?,Right to bear arms,Right to a trial by jury,Freedom of the press,Right to vote,c,single
What do we call the first ten amendments to the Constitution?,The Articles of Confederation,The Bill of Rights,The Preamble,The Declaration of Rights,b,single
Who makes federal laws?,The President,The Supreme Court,Congress,The Cabinet,c,single
What is one promise you make when you become a United States citizen?,To become a resident,To give up allegiance to other countries,To learn a second language,To serve in the military,b,single
What is freedom of religion?,You may practice any religion or not practice a religion,The government tells you which religion to follow,Religion is banned in public,You must practice the national religion,a,single
Name the U.S. war between the North and the South.,The War of 1812,The Mexican-American War,The Civil War,The Spanish-American War,c,single
What was one important thing Abraham Lincoln did?,He wrote the Constitution,He purchased the Louisiana Territory,He declared independence from Britain,He preserved the Union and freed the slaves,d,single
Who was President during World War II?,Woodrow Wilson,Franklin D. Roosevelt,Harry S. Truman,Dwight D. Eisenhower,b,single
During the Cold War what was the main concern of the United States?,Terrorism,The spread of communism,Environmental pollution,Nuclear power,b,single
What movement tried to end racial discrimination?,The Suffrage Movement,The Civil Rights Movement,The Progressive Movement,The Labor Movement,b,single
What did Martin Luther King Jr. do?,He founded the NAACP,He wrote the Civil Rights Act,He fought for equality for all Americans,He served as the first Black President,c,single
What major event happened on September 11 2001 in the United States?,A major hurricane hit New York,Terrorists attacked the United States,The United States declared war on Iraq,The stock market crashed,b,single
Name one American Indian tribe in the United States.,Apache,Portuguese,Korean,French,a,single
Name the longest river in the United States.,The Ohio River,The Colorado River,The Mississippi River,The Hudson River,c,single
What ocean is on the West Coast?,The Atlantic Ocean,The Indian Ocean,The Arctic Ocean,The Pacific Ocean,d,single
Name one U.S. territory.,Guam,Ireland,New Zealand,Canada,a,single
Why does the flag have 50 stars?,One for each territory,One for each original colony,One for each state,One for each amendment,c,single
What is the supreme law of the land?,The Bill of Rights,The Constitution,The Declaration of Independence,Federal law,b,single
Who is Father of Our Country?,Benjamin Franklin,John Adams,Thomas Jefferson,George Washington,d,single
What is the name of the national anthem?,America the Beautiful,Yankee Doodle,The Star-Spangled Banner,God Bless America,c,single
Name one state that borders Canada.,Florida,Texas,New Mexico,Alaska,d,single
What country did we fight during the Revolutionary War?,France,Spain,Great Britain,Germany,c,single
Who was President during the Great Depression and World War II?,Herbert Hoover,Calvin Coolidge,Franklin Roosevelt,Harry Truman,c,single
What did the civil rights movement accomplish?,It ended the Revolutionary War,It abolished slavery,It gained civil rights for African Americans,It gave women the right to vote,c,single
